date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:35:57	29424/29424	---MCZ	200	added ('OK')	text/html	etag:W/%221219c973553aa19c0a0690e7a191160a%22	https://phyzioline.vercel.app/client-dashboard/student-dashboard.html	D:/phyzioline%20static%20html/phyzioline.vercel.app/client-dashboard/student-dashboard.html	(from )
10:35:58	22327/22327	---MCZ	200	added ('OK')	text/html	etag:W/%22a993d4fc1800e00517672e996f01048b%22	https://phyzioline.vercel.app/website/index.html	D:/phyzioline%20static%20html/phyzioline.vercel.app/website/index.html	(from )
10:35:58	1492/1492	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Nov%202025%2008:35:58%20GMT	https://phyzioline.vercel.app/robots.txt		(from )
10:35:59	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	D:/phyzioline%20static%20html/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:00	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	D:/phyzioline%20static%20html/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:00	208522/208522	---MCZ	200	added ('OK')	application/javascript	etag:W/%2232e8a-y1VYFBBM+4v4jk0bIQM7SVw8Wnc%22	https://cdn.jsdelivr.net/npm/chart.js	D:/phyzioline%20static%20html/cdn.jsdelivr.net/npm/chart.js	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:01	14824/14824	---MCZ	200	added ('OK')	text/css	etag:W/%225e5250c6e8f5060ab659ba5cb5574a4e%22	https://phyzioline.vercel.app/assets/css/style.css	D:/phyzioline%20static%20html/phyzioline.vercel.app/assets/css/style.css	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:02	33730/33730	---MCZ	200	added ('OK')	text/html	etag:W/%22df96645709ef26fdc883038cea3307ed%22	https://phyzioline.vercel.app/client-dashboard/student-appointments.html	D:/phyzioline%20static%20html/phyzioline.vercel.app/client-dashboard/student-appointments.html	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:03	44288/44288	---MCZ	200	added ('OK')	text/html	etag:W/%2216e63e27a4e82605adc27c19affab3e3%22	https://phyzioline.vercel.app/client-dashboard/student-medical-records.html	D:/phyzioline%20static%20html/phyzioline.vercel.app/client-dashboard/student-medical-records.html	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
10:36:04	41099/41099	---MCZ	200	added ('OK')	text/html	etag:W/%22728a2d80b335109b66075a5e0588b9cf%22	https://phyzioline.vercel.app/client-dashboard/student-courses.html	D:/phyzioline%20static%20html/phyzioline.vercel.app/client-dashboard/student-courses.html	(from https://phyzioline.vercel.app/client-dashboard/student-dashboard.html)
